飲み物,好み,アルコール
生ビール,0101001,4
ハイボール,0100101,4
ジンジャーハイボール,1000001,4
コークハイボール,1000001,4
酎ハイ,0000101,5
ウーロンハイ,0000100,5
ジャスミンハイ,0000100,5
緑茶ハイ,0100100,5
紅茶ハイ,0000100,5
レモンサワー,1001111,5
グレープフルーツサワー,1000011,5
りんごサワー,1000011,5
カルピスサワー,1000001,5
梅干しサワー,0001001,5
ラムネサワー,1000001,5
白桃サワー,1000011,5
ゆずサワー,1000011,5
梅酒(水割り),1000010,3
りんご酒(水割り),1000010,3
パイナップル酒(水割り),1000010,3
ピーチ酒(水割り),1000010,3
マンゴー酒(水割り),1000010,3
ライチ酒(水割り),1000010,3
梅酒(ソーダ割り),1000011,3
りんご酒(ソーダ割り),1000011,3
パイナップル酒(ソーダ割り),1000011,3
ピーチ酒(ソーダ割り),1000011,3
マンゴー酒(ソーダ割り),1000011,3
ライチ酒(ソーダ割り),1000011,3
梅酒(ロック),1000010,2
りんご酒(ロック),1000010,2
パイナップル酒(ロック),1000010,2
ピーチ酒(ロック),1000010,2
マンゴー酒(ロック),1000010,2
ライチ酒(ロック),1000010,2
スクリュードライバー,1001010,5
ファジーネーブル,1001010,5
ゴールデンデイズ,1001010,5
カシスオレンジ,1001010,5
カシスグレープフルーツ,1000010,5
カシスソーダ,1000101,5
カシスウーロン,1000000,5
シャンディガフ,1100001,5
レッドアイ,0101101,5
ピーチウーロン,1000000,5
ライチソーダ,1000111,5
ライチオレンジ,1001010,5
ジントニック,0100101,5
ジンバック,1100101,5
モヒート,1000101,5
モスコミュール,1000001,5
ウイスキー,0110000,1
テキーラ,0110000,1
日本酒とっくり(1合),1110000,1
日本酒グラス,1110000,3
赤ワイン(グラス),0100000,2
白ワイン(グラス),0100000,2
焼酎(水割り),0010000,2
焼酎(ソーダ割り),0010001,2
焼酎(ロック),0010000,1
お冷,xxxxxxx,6